niveau_risque_assurance,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement(cm),longueur_voiture(cm),largeur_voiture(cm),hauteur_voiture(cm),poids_vehicule(kg),type_moteur,nombre_cylindres,taille_moteur,systeme_carburant,taux_alésage(cm),course_piston(cm),taux_compression,chevaux,tour_moteur,consommation_ville(L/100km),consommation_autoroute(L/100km),prix,marque,modele
2,gas,std,two,hayon,traction,avant,238.0,399.5,163.6,129.0,909.0,ohc,four,92,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,6669.0,mitsubishi,outlander
1,gas,turbo,two,hayon,traction,avant,236.2,399.5,162.1,129.0,973.0,ohc,four,98,spdi,7.7,8.6,7.6,102,5500,9.800625,7.8405000000000005,7689.0,mitsubishi,g4
3,gas,turbo,two,hayon,traction,avant,244.6,439.4,166.1,125.5,1075.0,ohc,four,110,spdi,8.1,8.8,7.5,116,5500,10.226739130434783,7.8405000000000005,9959.0,mitsubishi,mirageg4
3,gas,std,two,hayon,traction,avant,244.6,439.4,166.1,125.5,1056.0,ohc,four,122,2bbl,8.5,8.8,8.5,88,5000,9.4086,7.35046875,8499.0,mitsubishi,g4
3,gas,turbo,two,hayon,traction,avant,243.6,439.9,168.4,127.5,1285.0,ohc,four,156,spdi,9.1,9.8,7.0,145,5000,12.379736842105263,9.800625,12629.0,mitsubishi,outlander
3,gas,turbo,two,hayon,traction,avant,243.6,439.9,168.4,127.5,1324.9,ohc,four,156,spdi,9.1,9.8,7.0,145,5000,12.379736842105263,9.800625,14869.0,mitsubishi,g4
3,gas,turbo,two,hayon,traction,avant,243.6,439.9,168.4,127.5,1327.2,ohc,four,156,spdi,9.1,9.8,7.0,145,5000,12.379736842105263,9.800625,14489.0,mitsubishi,mirageg4
1,gas,std,four,berline,traction,avant,244.6,437.9,166.1,131.1,1072.7,ohc,four,122,2bbl,8.5,8.8,8.5,88,5000,9.4086,7.35046875,6989.0,mitsubishi,montero
1,gas,std,four,berline,traction,avant,244.6,437.9,166.1,131.1,1090.9,ohc,four,122,2bbl,8.5,8.8,8.5,88,5000,9.4086,7.35046875,8189.0,mitsubishi,pajero
1,gas,turbo,four,berline,traction,avant,244.6,437.9,166.1,131.1,1090.0,ohc,four,110,spdi,8.1,8.8,7.5,116,5500,10.226739130434783,7.8405000000000005,9279.0,mitsubishi,outlander
-1,gas,std,four,berline,traction,avant,244.6,437.9,166.1,131.1,1090.0,ohc,four,110,spdi,8.1,8.8,7.5,116,5500,10.226739130434783,7.8405000000000005,9279.0,mitsubishi,mirageg4
1,gas,std,two,berline,traction,avant,240.0,419.9,162.1,138.4,856.8,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,5499.0,nissan,versa
1,diesel,std,two,berline,traction,avant,240.0,419.9,162.1,138.4,914.9,ohc,four,103,idi,7.6,8.8,21.9,55,4800,5.227,4.7043,7099.0,nissan,gt-r
1,gas,std,two,berline,traction,avant,240.0,419.9,162.1,138.4,870.0,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,6649.0,nissan,rogue
1,gas,std,four,berline,traction,avant,240.0,419.9,162.1,138.4,879.1,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,6849.0,nissan,latio
1,gas,std,four,break,traction,avant,240.0,432.3,162.1,135.9,918.1,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,7349.0,nissan,titan
1,gas,std,two,berline,traction,avant,240.0,419.9,162.1,138.4,885.0,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,7299.0,nissan,leaf
1,gas,std,two,hayon,traction,avant,240.0,420.6,162.1,135.4,919.9,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,7799.0,nissan,juke
1,gas,std,four,berline,traction,avant,240.0,419.9,162.1,138.4,894.0,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,7499.0,nissan,latio
1,gas,std,four,break,traction,avant,240.0,432.3,162.1,135.9,924.0,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,7999.0,nissan,note
2,gas,std,two,coupé,traction,avant,241.6,412.5,162.1,135.4,910.8,ohc,four,97,2bbl,8.0,8.4,9.4,69,5200,7.587580645161291,6.357162162162163,8249.0,nissan,clipper
0,gas,std,four,hayon,traction,avant,246.9,440.4,165.6,138.9,1054.1,ohc,four,120,2bbl,8.5,8.8,8.5,97,5200,8.711666666666666,6.9180882352941175,8949.0,nissan,rogue
0,gas,std,four,berline,traction,avant,246.9,440.4,165.6,138.9,1044.2,ohc,four,120,2bbl,8.5,8.8,8.5,97,5200,8.711666666666666,6.9180882352941175,9549.0,nissan,nv200
0,gas,std,four,berline,traction,avant,255.0,461.5,168.9,140.0,1403.9,ohcv,six,181,mpfi,8.7,8.3,9.0,152,5200,13.836176470588235,10.691590909090909,13499.0,nissan,dayz
0,gas,std,four,break,traction,avant,255.0,468.9,168.9,142.5,1495.0,ohcv,six,181,mpfi,8.7,8.3,9.0,152,5200,13.836176470588235,10.691590909090909,14399.0,nissan,fuga
0,gas,std,four,berline,traction,avant,255.0,468.9,168.9,140.0,1388.0,ohcv,six,181,mpfi,8.7,8.3,9.0,152,5200,12.379736842105263,9.4086,13499.0,nissan,otti
3,gas,std,two,hayon,propulsion,avant,231.9,433.6,172.5,126.2,1393.0,ohcv,six,181,mpfi,8.7,8.3,9.0,160,5200,12.379736842105263,9.4086,17199.0,nissan,teana
3,gas,turbo,two,hayon,propulsion,avant,231.9,433.6,172.5,126.2,1423.8,ohcv,six,181,mpfi,8.7,8.3,7.8,200,5200,13.836176470588235,10.226739130434783,19699.0,nissan,kicks
1,gas,std,two,hayon,propulsion,avant,252.0,453.4,172.5,126.2,1423.8,ohcv,six,181,mpfi,8.7,8.3,9.0,160,5200,12.379736842105263,9.4086,18399.0,nissan,clipper
0,gas,std,four,berline,propulsion,avant,274.1,474.2,173.7,144.0,1369.8,l,four,120,mpfi,8.8,8.1,8.4,97,5000,12.379736842105263,9.800625,11900.0,peugeot,504
0,diesel,turbo,four,berline,propulsion,avant,274.1,474.2,173.7,144.0,1450.1,l,four,152,idi,9.4,8.9,21.0,95,4150,8.400535714285715,7.127727272727273,13200.0,peugeot,304
0,gas,std,four,break,propulsion,avant,290.1,505.2,173.7,149.1,1465.1,l,four,120,mpfi,8.8,8.1,8.4,97,5000,12.379736842105263,9.800625,12440.0,peugeot,504(sw)
0,diesel,turbo,four,break,propulsion,avant,290.1,505.2,173.7,149.1,1555.8,l,four,152,idi,9.4,8.9,21.0,95,4150,9.4086,9.4086,13860.0,peugeot,504
0,gas,std,four,berline,propulsion,avant,274.1,474.2,173.7,144.0,1394.8,l,four,120,mpfi,8.8,5.6,8.4,95,5000,12.379736842105263,9.800625,15580.0,peugeot,504
0,diesel,turbo,four,berline,propulsion,avant,274.1,474.2,173.7,144.0,1475.1,l,four,152,idi,9.4,8.9,21.0,95,4150,8.400535714285715,7.127727272727273,16900.0,peugeot,604sl
0,gas,std,four,break,propulsion,avant,290.1,505.2,173.7,144.0,1490.1,l,four,120,mpfi,8.8,5.6,8.4,95,5000,12.379736842105263,9.800625,16695.0,peugeot,504
0,diesel,turbo,four,break,propulsion,avant,290.1,505.2,173.7,149.1,1580.8,l,four,152,idi,9.4,8.9,21.0,95,4150,9.4086,9.4086,17075.0,peugeot,505sturbodiesel
0,gas,std,four,berline,propulsion,avant,274.1,474.2,173.7,144.0,1394.8,l,four,120,mpfi,8.8,8.1,8.4,97,5000,12.379736842105263,9.800625,16630.0,peugeot,504
0,diesel,turbo,four,berline,propulsion,avant,274.1,474.2,173.7,144.0,1475.1,l,four,152,idi,9.4,8.9,21.0,95,4150,8.400535714285715,7.127727272727273,17950.0,peugeot,504
0,gas,turbo,four,berline,propulsion,avant,274.3,474.2,173.5,142.2,1419.7,l,four,134,mpfi,9.2,8.2,7.0,142,5600,13.0675,9.800625,18150.0,peugeot,604sl
1,gas,std,two,hayon,traction,avant,238.0,399.5,162.1,129.0,870.0,ohc,four,90,2bbl,7.5,8.2,9.4,68,5500,6.357162162162163,5.736951219512195,5572.0,plymouth,furyiii
1,gas,turbo,two,hayon,traction,avant,238.0,399.5,162.1,129.0,965.2,ohc,four,98,spdi,7.7,8.6,7.6,102,5500,9.800625,7.8405000000000005,7957.0,plymouth,cricket
1,gas,std,four,hayon,traction,avant,238.0,399.5,162.1,128.5,892.2,ohc,four,90,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,6229.0,plymouth,furyiii
1,gas,std,four,berline,traction,avant,238.0,424.9,162.1,129.0,902.2,ohc,four,90,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,6692.0,plymouth,satellitecustom(sw)
1,gas,std,four,berline,traction,avant,238.0,424.9,162.1,129.0,993.8,ohc,four,98,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,7609.0,plymouth,furygransedan
-1,gas,std,four,break,traction,avant,262.4,443.5,164.1,151.9,1149.9,ohc,four,122,2bbl,8.5,8.8,8.5,88,5000,9.800625,7.8405000000000005,8921.0,plymouth,valiant
3,gas,turbo,two,hayon,propulsion,avant,243.6,439.9,168.4,127.5,1278.2,ohc,four,156,spdi,9.1,9.8,7.0,145,5000,12.379736842105263,9.800625,12764.0,plymouth,duster
3,gas,std,two,hayon,propulsion,avant,240.0,429.0,173.5,127.5,1260.1,ohc,four,151,mpfi,10.0,7.9,9.5,143,5500,12.379736842105263,8.711666666666666,22018.0,porsche,macan
3,gas,std,two,coupé,propulsion,arriere,227.3,429.0,165.1,131.1,1250.1,ohcf,six,194,mpfi,9.5,7.4,9.5,207,5900,13.836176470588235,9.4086,32528.0,porsche,panamera
3,gas,std,two,coupé,propulsion,arriere,227.3,429.0,165.1,131.1,1250.1,ohcf,six,194,mpfi,9.5,7.4,9.5,207,5900,13.836176470588235,9.4086,34028.0,porsche,cayenne
3,gas,std,two,décapotable,propulsion,arriere,227.3,429.0,165.1,131.1,1270.1,ohcf,six,194,mpfi,9.5,7.4,9.5,207,5900,13.836176470588235,9.4086,37028.0,porsche,boxter
1,gas,std,two,hayon,propulsion,avant,249.9,446.3,183.6,128.3,1526.8,dohcv,eight,203,mpfi,10.0,7.9,10.0,288,5750,13.836176470588235,8.400535714285715,31400.5,porsche,cayenne
0,gas,std,four,break,traction,avant,244.1,461.0,168.9,140.2,1169.8,ohc,four,132,mpfi,8.8,9.9,8.7,90,5100,10.226739130434783,7.587580645161291,9295.0,renault,12tl
2,gas,std,two,hayon,traction,avant,244.1,449.1,169.2,128.3,1115.8,ohc,four,132,mpfi,8.8,9.9,8.7,90,5100,10.226739130434783,7.587580645161291,9895.0,renault,5gtl
3,gas,std,two,hayon,traction,avant,251.7,474.0,168.9,142.5,1205.6,ohc,four,121,mpfi,9.0,7.8,9.31,110,5250,11.200714285714286,8.400535714285715,11850.0,saab,99e
2,gas,std,four,berline,traction,avant,251.7,474.0,168.9,142.5,1222.4,ohc,four,121,mpfi,9.0,7.8,9.3,110,5250,11.200714285714286,8.400535714285715,12170.0,saab,99le
3,gas,std,two,hayon,traction,avant,251.7,474.0,168.9,142.5,1227.9,ohc,four,121,mpfi,6.5,5.3,9.3,110,5250,11.200714285714286,8.400535714285715,15040.0,saab,99le
2,gas,std,four,berline,traction,avant,251.7,474.0,168.9,142.5,1251.0,ohc,four,121,mpfi,9.0,7.8,9.3,110,5250,11.200714285714286,8.400535714285715,15510.0,saab,99gle
3,gas,turbo,two,hayon,traction,avant,251.7,474.0,168.9,142.5,1273.7,dohc,four,121,mpfi,9.0,7.8,9.0,160,5500,12.379736842105263,9.04673076923077,18150.0,saab,99gle
